A    
a     art.一(个)；每一(个)
lavish     ['læviʃ] a.浪费的，过分花费的；丰富的
law     [lɔː] n.法律，法令；法则
lawn     [lɔːn] n.草地，草坪，草场
lawyer     [ˈlɔːjə] n.律师；法学家
laxative     ['læksətiv] a.(药)通便的；放松的；n.轻泻药
lay     [lei] vt.置放；铺设；设置
layer     [ˈleiə] n.层，层次；铺设者
layman     ['leimən] n. 普通信徒(有别于神职人员)；门外汉
layoff     ['leiɔf] n.临时解雇,操作停止,活动停止期间,失业期
layout     [ˈleiˌaut] n.布局，安排，设计
layover     ['leiəuvə] n. 旅途中的短暂停留
lazy     [ˈleizi] a.懒惰的，懒散的
leach     [li:tʃ] v. 过滤
lead     [liːd] vt.为…带路；领导
leader     [ˈliːdə] n.领袖，领导人；首领
leadership     [ˈliːdə∫ip] n.领导
leading     [ˈliːdiŋ] a.指导的；最主要的
leaf     [liːf] n.叶，叶子
leaflet     n.小叶,传单
league     [liːg] n.同盟，联盟；联合会
leak     [liːk] vi.漏；泄露 n.漏洞
leakage     ['li:kidʒ] n.渗漏，漏出
lean     [liːn] vi.倾斜，屈身；靠
leap     [liːp] vi.跳，跃 n.跳跃
learn     [ləːn] vi.&vt.学，学习
learned     [ˈləːnid] a.有学问的；学术上的
learning     [ˈləːniŋ] n.学习；学问，知识
lease     [li:s] n.租约；租期；v.出租
leash     [li:ʃ] n. (系狗的)绳子
least     [liːst] a.最少的 ad.最少
leather     [ˈleðə] n.皮革；皮革制品
leave     [liːv] vi.离去 vt.离开
leaven     ['levən] n.发酵剂；影响力；v.发酵；影响
lectern     ['lektə(:)n] n.教堂里的读经台
lecture     [ˈlekt∫ə] n.&vi.演讲，讲课
ledger     ['ledʒə] n.账簿
leer     [liə] v.（挑逗性地）斜眼看，送秋波
leery     ['liəri] a.机警的，怀疑的
leeward     ['li:wəd] a. 顺风的
leeway     ['li:wei] n. (可供活动的)余地
left     [left] a.左边的 ad.在左边
leg     [leg] n.腿，腿部
legacy     ['leɡəsi] n.遗产；遗留之物
legal     [ˈliːgəl] a.法律的；合法的
legend     [ˈledʒənd] n.传说，传奇
legerdemain     [,ledʒədə'mein] n.手法，戏法，障眼法
legible     ['ledʒəbl] a. 易读的
legion     ['li:dʒən] n.兵团；一大群
legislate     ['ledʒis,leit] v.制定法律
legislation     [,ledʒis'leiʃən] n.法律，法规；立法
legislature     ['ledʒis,leitʃə] n.立法机关，立法团体
legitimate     [li'dʒitimit] a.合法的；正当的
leisure     [ˈliːʒə] n.空闲时间；悠闲
leisureliness     [le'ʒəlinis] n.悠然，从容
lemon     [ˈlemən] n.柠檬，柠檬树
lend     [lend] vt.把…借给，贷(款)
length     [leŋθ] n.长，长度；一段
leniency     ['li:niənsi] n.温和，宽容
lenient     ['li:njənt] a.宽大的；仁慈的
lens     [lenz] n.透镜，镜片；镜头
lesion     ['li:ʒən] n. 伤口；损害
less     [les] a.更少的 ad.更少地
lessen     [ˈlesn] vt.减少，减轻；缩小
lesson     [ˈlesn] n.功课，课；课程
lest     [lest] conj.惟恐，以免
let     [let] vt.允许，让；使
lethal     ['li:θəl] a.致命的
lethargic     [le'θɑ:dʒik] a.昏睡的
lethargy     ['leθədʒi] n.昏睡；倦怠；呆滞懒散
letter     [ˈletə] n.信；证书；字母
levee     ['levi] n.防洪堤；堤岸
level     [ˈlev(ə)l] n.水平面 a.水平的
levelheaded     ['levəl'hedid] a.头脑冷静的，稳健的
lever     [ˈliːvə] n.杆，杠杆；控制杆
leverage     ['li:vəridʒ] n. 杠杆作用；力量上的优势
levity     ['leviti] n.轻率；轻浮
levy     ['levi] v./n.征税；征兵
lexical     ['leksikəl] a. 词汇的；词典的
lexicographer     [,leksi'kɔɡrəfə] n.词典编纂人
lexicon     ['leksikən] n. 词典
liability     [,laiə'biliti] n.责任；债务
liable     [ˈlaiəbl] a.易于…的；可能的
liaison     [li(:)'eizən] n.联系；暧昧关系
liar     [ˈlaiə] n.说谎的人
libel     ['laibəl] v./n.(文字)诽谤，中伤
libelous     ['laibələs] a. 诽谤的
liberal     [ˈlibərəl] a.心胸宽大的；慷慨的
liberality     [,libə'ræliti] n.慷慨；心胸开阔
liberate     [ˈlibəreit] vt.解放；释放
liberation     [ˌlibəˈrei∫ən] n.解放
libertine     ['libə(:)ti:n] n.性行为放纵者，浪荡的人
liberty     [ˈlibəti] n.自由；释放；许可
libido     [li'baidəu] n. 性欲；生命力
librarian     [laiˈbreəriən] n.图书馆馆长
library     [ˈlaibrəri] n.图书馆；藏书
libretto     [li'bretəu] n.(歌剧等)歌词；剧本
license     [ˈlaisəns] n.许可；执照 vt.准许
licentious     [lai'senʃəs] a.纵欲的，淫乱的；放肆的，漠视行为规范的
licit     ['lisit] a. 不禁止的，合法的
lick     [lik] vt.舔；舔吃
lid     [lid] n.盖子，盖，囊盖
lie     [lai] vi.躺，平放；位于
lien     ['li(:)ən] n.扣押权；留置权
lieutenant     [ljuːˈtenənt] n.陆军中尉；副职官员
life     [laif] n.生命；一生；寿命
lifetime     [ˈlaiftaim] n.一生，终身
lift     [lift] vt.提起，提高 n.电梯
ligature     ['liɡətʃuə] n. 绑缚之物(尤指系住血管以免失血的线)
light     [lait] n.光，光线；灯，光源
lighten     [ˈlaitn] vt.照亮，使明亮
lightly     [ˈlaitli] ad.轻轻地，轻松地
lightning     [ˈlaitniŋn.闪电，闪电放电
ligneous     ['liɡniəs] a.木质的，木头的
like     [laik] vt.喜欢；喜爱；希望
likelihood     n.可能,可能性
likely     [ˈlaikli] a.可能的 ad.很可能
liken     ['laikən] v.把„比作„
likewise     [ˈlaikˌwaiz] ad.同样地；也，又
limb     [lim] n.肢，臂，翼；树枝
limber     ['limbə] a.易弯曲的；柔软的
limbo     ['limbəu] n. 不稳定，中间状态
lime     [laim] n.石灰
limerick     ['limərik] n.五行打油诗
limestone     ['laimstəun] n.石灰岩
limit     [ˈlimit] n.限度；限制；范围
limitation     [ˌlimiˈtei∫ən] n.限制；限度，局限
limited     [ˈlimitid] a.有限的
limn     [lim] v.描写；画
limousine     ['liməzi:n] n.大型轿车，大客车
limp     [limp] v.跛行，一拐一拐地走；a.软弱的，松软的
limpid     ['limpid] a.清澈的；透明的
line     [lain] n.线；排；路线；线条
lineage     ['liniidʒ] n.宗系，血统
lineal     ['liniəl] a. 直系的，嫡系的
lineaments     ['liniəmənts] n. (面部等的)特征；轮廓
linear     ['liniə] a.线的；成直线的
linen     [ˈlinin] n.亚麻布；亚麻织物
liner     [ˈlainə(r)] n.班船，班机
linger     ['liŋɡə] v.逗留
lingual     ['liŋɡwəl] a. 舌的；语言的
linguistic     [liŋ'ɡwistik] a.语言的
linguistics     [liŋ'ɡwistiks] n.语言学
link     [liŋk] vt.有环连接 n.环
linoleum     [li'nəuliəm] n.油毡
lint     [lint] n.（裹伤用的）纱布
lion     [ˈlaiən] n.狮子；勇猛的人
lionize     ['laiənaiz] v.崇拜，看重
lip     [lip] n.嘴唇
liquefy     ['likwifai] v.(使)液化；(使)溶解
liquid     [ˈlikwid] n.液体 a.液体的
liquidate     ['likwideit] v.清算(债务)；清偿(债务)
liquor     [ˈlikə] n.酒；溶液，液剂
lissome     ['lisəm] a.姿态优雅的，柔软的
list     [list] n.表，目录 n.列举
listen     [ˈlisn] vi.听，留神听；听从
listener     [ˈlisnə] n.听者，听众之一
listless     ['listlis] a.无精打采的
liter     [ˈliːtə] n.升(容量单位)
literacy     n.有文化，有教养，有读写能力
literal     ['litərəl] a.字面上的，忠实原义的；精确的
literally     ['litərəli] ad.照字面意义,逐字地;确实
literary     [ˈlitərəri] a.文学(上)的
literate     ['litərit] a.有读写能力的；有文化修养的
literati     [,litə'rɑ:ti] n.文人；学者(复数)
literature     [ˈlitərit∫ə] n.文学；文献
lithe     [laið] a.（人身体）柔软的，易弯曲的；敏捷的，轻快的
litigant     ['litiɡənt] n.诉讼当事人
litigation     [,liti'ɡeiʃən] n.诉讼
litre     ['li:tə] n.(liter)升;公升(容量单位)
litter     ['litə] n.垃圾；(一胎所生)一窝(动物)
little     [ˈlitl] a.小的；少；幼小的
littoral     ['litərəl] a. 海岸的；n. 海滨，沿海地区
live     [liv] vi.居住；活 a.活的
lively     [ˈlaivli] a.活泼的；逼真的
liver     [ˈlivə] n.肝；肝脏
livid     ['livid] a. (伤)青灰色的；(脸色)苍白的)；狂怒的
living     [ˈliviŋ] a.活的 n.生活，生计
living-room     n.起居室
load     [ləud] vt.装；装满 n.负载
loaf     [ləuf] n.一条面包，一个面包
loam     [ləʊm] n. 沃土(a rich soil)
loan     [ləun] n.贷款；暂借 vt.借出
loath     [ləuθ] a.不情愿的，勉强的
loathe     [ləuð] v.憎恨，厌恶
lobby     ['lɔbi] n.大厅，休息厅
lobe     [ləub] n.耳垂；(肺、肝等的)叶
local     [ˈləukəl] a.地方的；局部的
locale     [ləu'kɑ:l] n.事件发生的现场、地点
locality     n.位置,地点
locate     [ləuˈkeit] vt.探明，找出，查出
location     [ləuˈkei∫ən] n.位置，场所
lock     [lɔk] n.锁 vt.锁上，锁住
locker     ['lɔkə] n.更衣箱
locomotion     [,ləukə'məuʃ(ə)n] n.运动，移动
locomotive     [ˌləukəˈməutiv] n.火车头，机车
locus     ['ləukəs] n.地点，所在地
locust     ['ləukəst] n. 蝗虫；贪吃的人
locution     [ləu'kju:ʃən] n. 语言风格；惯用语
lode     [ləud] n.矿脉
lodge     [lɔdʒ] vi.暂住，借宿，投宿
loft     [lɔft] n. 阁楼，顶楼
lofty     ['lɔ(:)fti] a.崇高的，高尚的
log     [lɔg] n.原木，木料
logic     [ˈlɔdʒik] n.逻辑，推理；逻辑性
logical     [ˈlɔdʒikəl] a.逻辑的；符合逻辑的
logistics     [lə'dʒistiks] n.后勤学；后勤
logjam     ['lɔɡdʒæm] n. 浮木阻塞；阻塞状态；僵局
loiter     ['lɔitə] v. 游荡；徘徊
loll     [lɔl] v.懒洋洋地坐或卧
lonely     [ˈləunli] a.孤独的；荒凉的
long     [lɔŋ] a.长的；远的 ad.长久
longevity     [lɔŋ'dʒeviti] n.长寿
longing     ['lɔŋiŋ] n.渴望
longitude     ['lɔndʒitju:d, -tu:d] n.经度
long-winded     [,lɔŋ'windid] a.(演讲或写作)冗长的
look     [luk] vi.看，显得 n.看
loom     [lu:m] n.织布机；v.(威胁性)隐约出现
loon     [lu:n] n.愚人；疯子
loop     [luːp] n.圈，环，环孔
loophole     ['lu:phəul] n.枪眼，小窗，换气孔，透光口
loose     [luːs] a.松的；宽松的
loosen     [ˈluːsn] vt.解开；使松驰
lope     [ləup] n.轻快的步伐；v.使大步慢跑；跳跃
lopsided     ['lɔp'saidid] a.倾向一方的，不平衡的
loquacious     [ləu'kweiʃəs] a.多话的
lord     [lɔːd] n.贵族；上帝，基督
lore     [lɔ:] n. 知识；传说
lorry     [ˈlɔri] n.运货汽车，卡车
lose     [luːz] vt.失去；迷失；输掉
loss     [lɔs] n.遗失；损失；失败
lot     [lɔt] n.许多，大量；签，阄
lottery     ['lɔtəri] n.彩票，抽彩给奖法
loud     [laud] a.响亮的；吵闹的
loudspeaker     [ˈlaudˈspiːkə] n.扬声器，喇叭
lounge     [laundʒ] v.懒散地倚靠；n.休息室
lout     [laut] n. 粗人
loutish     ['lautiʃ] a.粗鲁的
love     [lʌv] vt.爱，喜欢 n.爱
lovely     [ˈlʌvli] a.可爱的；令人愉快的
lover     [ˈlʌvə] n.爱好者；情人；情侣
low     [ləu] a.低的，矮的；低下的
lowbred     [,ləu'bred] a. 粗野的，鲁莽的
lower     [ˈləuə] a.较低的 vt.放下
loyal     [ˈlɔiəl] a.忠诚的，忠心的
loyalty     [ˈlɔiəlti] n.忠诚，忠心
lubricant     ['lu:brikənt] n.润滑剂
lubricate     ['lu:brikeit] v.润滑
lubricious     [lju:'briʃəs] a. 光滑的；好色的
lucid     ['lu:sid] a.表达清楚的，明白易懂的
luck     [lʌk] n.运气；好运，幸运
lucky     [ˈlʌki] a.幸运的；吉祥的
lucrative     ['lu:krətiv] a.赚钱的，可获利的
lucre     ['lu:kə] n. [贬]钱，利益
lucubrate     ['lju:kju(:)breit] v. 刻苦攻读，埋头苦干
ludicrous     ['lu:dikrəs] a.荒唐可笑的
lug     [lʌɡ] v./n.拖，拉
luggage     [ˈlʌgidʒ] n.行李；皮箱，皮包
lukewarm     ['lju:kwɔ:m] a.微温的，不冷不热的；不热心的
lull     [lʌl] n.活动的暂停，间歇；v.使平静
lullaby     ['lʌləbai] n.摇篮曲
lumber     [ˈlʌmbə] n.木材；木料；制材
lumberjack     ['lʌmbədʒæk] n.伐木工
lumen     ['lju:min] n.流明(光通量单位)
luminary     ['lju:minəri] n.杰出人物，名人
luminous     adj.发光的,明亮的
lump     [lʌmp] n.团，块；肿块
lunar     ['lju:nə] a.月亮的
lunatic     ['lju:nətik] n.疯子；a.极蠢的
lunch     [lʌnt∫] n.午餐，(美)便餐
lung     [lʌŋ] n.肺脏，肺
lurch     [lə:tʃ] n.突然向前或旁边倒；v.蹒跚而行
lure     [ljuə] n. 诱惑力；v. 引诱
lurid     ['ljuərid] a.耀眼的；骇人听闻的
lurk     [lə:k] v.潜伏，埋伏
luscious     ['lʌʃəs] a. 美味的；肉感的
lush     [lʌʃ] a.繁茂的，茂盛的
lust     [lʌst] n.（贬）强烈的欲望
lustrous     ['lʌstrəs] a.有光泽的
lusty     ['lʌsti] a. 精力充沛的
luxuriant     [lʌɡ'zjuəriənt] a.繁茂的；肥沃的
luxurious     [lʌɡ'zjuəriəs] a.奢侈的，豪华的
luxury     [ˈlʌk∫əri] n.奢侈，奢华；奢侈品
lymphatic     [lim'fætik] a. 无力的；迟缓的
lynch     [lintʃ] v. 私刑处死
lyric     ['lirik] a.抒情的；n.抒情诗；歌词
M    
macabre     [mə'kɑ:bə] a.骇人的，可怖的
macerate     ['mæsəreit] v.浸软；消瘦
machination     [mæki'neiʃ(ə)n] n.阴谋
machine     [məˈ∫iːn] n.机器；机械
machinery     n.[总称]机器,机械
mackintosh     ['mækintɔʃ] n. 雨衣；防水胶布
maculate     ['mækjuleit] a. 有斑点的
maculated     ['mækjuleitid] a.有斑点的
mad     [mæd] a.发疯的；恼火的
madam     [ˈmædəm] n.夫人，女士，太太
madame     [mɑ:'dɑ:m, 'mædəm] n.(madam)夫人，太太，女士
madcap     ['mædkæp] a. 轻率的；狂妄的
madrigal     ['mɑ:driɡəl] n.抒情短诗，情歌，合唱曲
maelstrom     ['meilstrəm] n.大漩涡；大混乱
maestro     [mɑ:'estrəu] n. 艺术大师；音乐大师
magazine     [ˌmægəˈziːn] n.杂志，期刊
magenta     [mə'dʒentə] n./a.紫红色(的)；n.紫红色的染料
magic     [ˈmædʒik] n.魔法，巫术；戏法
magisterial     [,mædʒis'tiəriəl] a.有权威的；威风的
magistrate     n.文职官员,地方官员
magnanimity     [,mæɡnə'nimiti] n.慷慨
magnanimous     [mæɡ'næniməs] a.宽宏大量的，慷慨的
magnate     ['mæɡneit] n.财主，巨头
magnet     [ˈmægnit] n.磁铁，磁石，磁体
magnetic     [mægˈnetik] a.磁的，有吸引力的
magnificent     [mægˈnifisnt] n.壮丽的；华丽的
magnify     ['mæɡnifai] v.放大；赞美
magniloquent     [mæɡ'niləkwənt] a. 夸张的
magnitude     ['mæɡnitju:d] n.重要性；星球的光亮度
magpie     ['mæɡpai] n.喜鹊；多话的人
maid     [meid] n.女佣，女仆；少女
maiden     ['meidən] n.少女,处女 a.未婚的,纯洁的,无经验的
mail     [meil] n.邮件 vt.邮寄
maim     [meim] v. 使残废
main     [mein] a.主要的，最重要的
mainland     [ˈmeinlənd,-lænd] n.大陆
mainly     [ˈmeinli] ad.主要地，大体上
maintain     [meinˈtein] vt.维持；赡养；维修
maintenance     [ˈmeintinəns] n.维持，保持；维修
maize     [meiz] n.玉米
majestic     [mə'dʒestik] a.雄伟的，庄严的，威严的
majesty     n.最高权威,王权,雄伟
major     [ˈmeidʒə] a.较大的 n.专业
majority     [məˈdʒɔriti] n.多数，大多数
make     [meik] vt.使；做，制造
makeshift     ['meikʃift] n./a. 代用品(的)；权宜之计(的)
maladroit     [,mælə'drɔit] a.笨拙的
malaise     [mæ'leiz] n.不适，不舒服
malapropism     ['mælə'prɔpizəm] n.字词的误用
malcontent     ['mælkən'tent] a.不满的；n.不满分子，反抗者
male     [meil] a.男的，雄的 n.男子
malediction     [,mæli'dikʃən] n. 诅咒
malefactor     ['mælifæktə] n. 罪犯，作恶者
maleficent     [mə'lefisnt] a. 有害的，犯罪的
malevolent     [mə'levələnt] a.有恶意的，恶毒的
malfeasance     [mæl'fi:zəns] n.不法行为，渎职
malfunction     [mæl'fʌŋkʃən] v.发生故障；n.故障，障碍
malice     ['mælis] n. 恶意, 怨恨
malicious     [mə'liʃəs] a.恶意的，怨毒的
malign     [mə'lain] v.诽谤，中伤；a.邪恶的
malignant     [mə'liɡnənt] a. 恶毒的，充满恨意的
malinger     [mə'liŋɡə] v.装病以逃避工作
mall     n.购物商场,商业街,林荫路
malleable     ['mæliəbl] a.(金属)可塑的，有延伸性的；(人主意等)易改变的
mallet     ['mælit] n. 木槌，大头锤
malodor     [mæ'ləudə] n. 恶臭
malpractice     ['mæl'præktis] n.玩忽职守，渎职
mammal     ['mæməl] n.哺乳动物
mammoth     ['mæməθ] a.巨大的
man     [mæn] n.男人；人；人类
manacle     ['mænəkl] n. 手铐
manage     [ˈmænidʒ] vt.管理；设法；对付
management     [ˈmænidʒmənt] n.管理；经营，处理
manager     ['mænidʒə] n.经理,管理人
mandate     ['mændeit] n.命令，指令
mandatory     ['mændətəri] a.命令的，强迫的
maneuver     [mə'nu:və] v./n. (军队)调遣；策略，操纵
mangle     ['mæŋɡl] v.严重毁损；撕成碎片，压碎
mangy     ['meindʒi] a. (兽)患疥癣的；污秽的
mania     ['meiniə] n.(医)躁狂，狂；狂热，癖好
manifest     ['mænifest] a.显然的；n.旅客名单；载货清单
manifestation     [,mænifes'teiʃən] n.表现，显示
manifesto     [,mæni'festəu] n.宣言，声明
manifold     ['mænifəuld] a.繁多的；多种的
manipulate     [mə'nipjuleit] v.操纵
manipulative     [mə'nipjulətiv] a.（贬）操纵别人的，对别人控制的
mankind     [mænˈkaind] n.人类
manly     [ˈmænli] a.男子气概的，果断的
manner     [ˈmænə] n.方式；态度；礼貌
mannered     ['mænəd] a.做作的
mansion     ['mænʃən] n.公馆；大厦
mantle     ['mæntl] n.披风，斗篷；地幔 v.覆盖
manual     [ˈmænjuəl] a.体力的 n.手册
manufacture     [ˌmænjuˈfækt∫ə] vt.制造 n.制造；产品
manufacturer     [ˌmænjuˈfækt∫ərə] n.制造商/厂
manumit     [,mænju'mit] v.解放(奴隶)
manure     [mə'njuə] n.粪肥；v.给„施肥
manuscript     ['mænjuskript] n.手稿；手抄本
many     [ˈmeni] a.许多的 pron.许多人
map     [mæp] n.地图；图；天体图
maple     ['meipl] n.枫树(枫树是加拿大的国树)
mar     [mɑ:] v.破坏，损伤
maraud     [mə'rɔ:d] v. 抢劫，掠夺
marble     [ˈmɑːbl] n.大理石
marbled     ['mɑ:bld] a. 有大理石花纹样的；肥瘦混合的
march     vi.行军；游行示威
March     [mɑːt∫] n.三月
mare     ['meəri] n.母马，母驴
margarine     [mɑ:dʒə'ri:n] n.人造黄油
margin     [ˈmɑːdʒin] n.页边的空白；边缘
marginal     ['mɑ:dʒinəl] a.书页空白处的；不重要的，小的，少的
marine     [məˈriːn] a.海的；海上的
mariner     ['mærinə] n. 水手，海员
marionette     [,mæriə'net] n.牵线木偶
marital     ['mæritl] a.婚姻的
maritime     ['mæritaim] a.沿海的；海上的
mark     [mɑːk] n.斑点；记号 vt.标明
marked     [ma:kt] a.明显的；被监视的
market     [ˈmɑːkit] n.市场；集市；销路
maroon     [mə'ru:n] n./a.栗色(的)，很深的红棕色(的)
marred     [mɑrd] a.受伤的；毁坏变形的
marriage     [ˈmæridʒ] n.结婚，婚姻；婚礼
married     [ˈmærid] a.已婚的；婚姻的
marrow     ['mærəu] n. 骨髓；精华
marry     [ˈmæri] vt.娶，嫁 vi.结婚
marsh     [mɑ:ʃ] n.沼泽地，湿地
marshal     ['mɑ:ʃəl] v.有序地整理、安排、设置
marsupial     [mɑ:'sju:pjəl] n./a.有袋动物(的)
martial     ['mɑ:ʃəl] a.战争的，军事的
martyr     ['mɑ:tə] n.烈士，殉道者
marvel     ['mɑ:vəl] v.对„感到惊异；n.奇迹
marvelous     [ˈmɑːvəl] a.奇迹般的；了不起的
Marxism     [ˈmɑːksiz(ə)m] n.马克思主义
Marxist     [ˈmɑːksist] a.马克思主义的
masculine     adj.男性的,男子气概的,[语法]阳性的;n.男子,男孩
mash     [mæʃ] v.捣成糊状
mask     [mɑːsk] n.面具；伪装 vt.掩饰
mason     ['meisn] n.泥瓦匠，石匠
masquerade     [,mæskə'reid] n.化装舞会；v.伪装
mass     [mæs] n.众多；团；群众
massacre     ['mæsəkə] n.大屠杀
massive     ['mæsiv] a.巨大的，厚重的
mast     [mɑ:st] n.船桅，旗杆
master     [ˈmɑːstə] n.主人；能手；硕士
mastermind     ['mæstəmaind] n. 策划，设计者
masterpiece     [ˈmɑːstəpiːs] n.杰作，名著
masticate     ['mæstikeit] v.咀嚼；把„磨成浆
mat     [mæt] n.席子；草席；垫子
matador     ['mætədɔ:] n. 斗牛士
match     [mæt∫] n.比赛，竞赛；对手
mate     [meit] n.伙伴，同事；配偶
material     [məˈtiəriəl] n.材料；素材 a.物质的
materialism     [məˈtiəriəlizəm] n.唯物主义
materialize     [mə'tiəriəlaiz] v.赋予形体，使具体化；实现
maternal     [mə'tə:nl] a.母性的
mathematical     [ˌmæθiˈmætikəl] a.数学(上)的
mathematics     [ˌmæθiˈmætiks] n.数学
maths     [mæθs] n.(英)数学
matriarchy     ['meitri:,ɑ:ki:] n. 母权制；妇女统治
matriculate     [mə'trikjuleit] v. 录取
matrix     ['meitriks] n.模子，铸模；矩阵
matte     [mæt] a. 无光泽的
matter     [ˈmætə] n.事情；物质 vi.要紧
mattress     ['mætris] n.床垫
mature     [məˈtjuə] a.成熟的 vt.使成熟
maturity     [mə'tjuəriti] n.成熟，完备
maudlin     ['mɔ:dlin] a.感情脆弱的，爱哭的（尤指酒后）
maul     [mɔ:l] v.撕裂皮肉，伤害
maunder     ['mɔ:ndə] v. 胡扯；游荡
mauve     [məuv] a.淡紫色的
maven     ['meivin] n.专家，内行
maverick     ['mævərik] n.想法与众不同的人，持独特见解者
mawkish     ['mɔ:kiʃ] a.伤感的；淡而无味的；令人作呕的
maxim     ['mæksim] n. 格言，普遍真理
maximize     ['mæksmaiz] v.使增至最大限度
maximum     [ˈmæksiməm] n.最大量 a.最大的
may     v.aux.可能；可以，祝
May     [mei] n.五月
maybe     [ˈmeibi] ad.大概，或许；也许
mayhem     ['meihem] n. 严重伤害罪
mayor     [meə] n.市长
maze     [meiz] n.迷宫
me     [miː] pron.(宾格)我
meadow     [ˈmedəu] n.草地，牧草地
meager     ['mi:ɡə(r)] a.贫乏的；削瘦的
meal     [miːl] n.膳食，一餐
mealy     ['mi:li] a. 粉状的；肤色不健康的，苍白的
mean     [miːn] vt.作…解释；意指
meander     [mi'ændə] v.(河流)蜿蜒而流；漫步
meaning     [ˈmiːniŋ] n.意义，意思；意图
means     [miːnz] n.方法，手段，工具
meantime     [ˈmiːnˈtaim] n.其时/间 ad.当时
meanwhile     [ˈminhwail] ad.同时，当时
measly     ['mi:zli] a.患麻疹的；（大小，数量，价值）小得可怜的
measurable     [ˈmeʒərəbl] a.可测量的
measure     [ˈmeʒə] vt.量，测量 n.分量
measured     ['meʒəd] a.精确的；慎重的
measurement     [ˈmeʒəmənt] n.衡量,测量；尺寸
meat     [miːt] n.肉
mechanic     [miˈkænik] n.技工，机械，机修工
mechanical     [miˈkænikl] a.机械的；力学的
mechanically     [miˈkænikəli] ad.机械地
mechanics     [miˈkæniks] n.力学；技术性细节
mechanism     ['mekənizəm] n.结构，机制
medal     [ˈmedl] n.奖章，勋章，纪念章
meddle     ['medl] v.干涉，干预，管闲事
meddlesome     ['medlsəm] a.爱管闲事的
mediate     ['mi:diit] v.调停
medical     [ˈmedikəl] a.医学的；内科的
medicate     ['medikeit] v. 用药医治，加入药物
medicine     [ˈmedisn] n.内服药；医学
medieval     [,medi'i:vəl] a.中世纪的，中古的
mediocre     [,mi:di'əukə] a.平庸的，平凡的
mediocrity     [,mi:di'ɔkriti] n.平庸，碌碌无为
meditate     ['mediteit] v.沉思，反省
meditation     [medi'teiʃən] n.沉思，冥想
meditative     ['meditətiv] a.沉思的，深思的，善于思考的
Mediterranean     [meditəˈreiniən] n.地中海 a.地中海的
medium     [ˈmiːdjəm] n.媒质；中间 a.中等的
medley     ['medli] n.混合歌曲；混杂；各种各样的集团
meek     [mi:k] a.温顺的，顺服的
meet     [miːt] vt.遇见 vi.相遇
meeting     [ˈmiːtiŋ] n.聚集，会合，会见
megalomania     ['meɡələu'meinjə] n. 自大狂
melancholy     ['melənkəli] a.忧郁的，令人悲伤的
meld     [meld] v.(使)混合，(使)合并
mellifluous     [me'lifluəs] a.(音乐等)柔美流畅的，嗓音甜美动听的
melodrama     ['melədrɑ:mə] n.情节剧；音乐戏剧
melody     ['melədi] n.旋律；歌曲
melon     [ˈmelən] n.瓜，甜瓜
melt     [melt] vi.融化 vt.使融化
member     [ˈmembə] n.成员，会员
membership     ['membəʃip] n.会员资格,成员资格
membrane     ['membrein] n.薄膜；细胞膜
memento     [me'mentəu] n. 纪念品
memo     ['meməu] n.(memorandum)备忘录
memoir     ['memwɑ:] n.回忆录，自传；记事录
memorandum     [,memə'rændəm] n. 备忘录
memorial     [miˈmɔːriəl] a.纪念的；记忆的
memorize     v.[亦作memorise]记住,记忆
memory     [ˈmeməri] n.记忆；回忆；存储
menace     ['menəs] v./n.威胁，危险
mend     [mend] vt.修理，修补，缝补
mendacious     [men'deiʃəs] a.不真的；撒谎的
mendacity     [men'dæsiti] n.虚假
mendicant     ['mendikənt] a.行乞的；n.乞丐
menial     ['mi:njəl] a. 仆人的，卑微的；n. 家仆
mental     [ˈmentl] a.智力的；精神的
menthol     ['menθɔl] n.薄荷醇
mention     [ˈmen∫ən] vt.&n.提及，说起
mentor     ['mentɔ:] n.导师，(无经验人的)有经验、可相信的顾问
menu     [ˈmenjuː] n.菜单；饭菜，菜肴
mercantile     ['mə:kəntail] a.贸易的，商业的
mercenary     ['mə:sinəri] a.惟利是图的，只为金钱的；n.雇佣兵
merchandise     ['mə:tʃəndaiz, -dais] n.商品,货物
merchant     [ˈməːt∫ənt] n.商人；零售商
mercurial     [mə:'kjuəriəl] a.善变的；活泼的
mercury     n.水银,汞,[罗神]墨丘利神(众神的信使)
Mercury     n.水星
mercy     [ˈməːsi] n.仁慈，慈悲，恩惠
mere     [miə] a.仅仅的；纯粹的
merely     [ˈmiəli] ad.仅仅，只不过
meretricious     [,meri'triʃəs] a.华而不实的，俗艳的
merge     v.合并,并入,结合,吞没,融合
merit     [ˈmerit] n.长处，优点；功过
merited     ['meritid] a.该得的，理所当然的
meritorious     [,meri'tɔ:riəs] a.值得赞赏的
mermaid     ['mə:meid] n. 美人鱼
merry     [ˈmeri] a.欢乐的，愉快的
mesa     ['meisə] n.高台地，平顶山
mesh     [meʃ] v.用网捕捉；(齿轮)齿合
mesmerism     ['mezmərizəm] n. 催眠术，催眠状态
mesmerize     ['mezməraiz] v. 对„催眠；迷住
mess     [mes] n.混乱，混杂，肮脏
message     [ˈmesidʒ] n.信息，消息；启示
messenger     [ˈmesindʒə] n.送信者，信使
metabolism     [me'tæbəlizəm] n.新陈代谢
metal     [ˈmetl] n.金属，金属制品
metallic     adj.金属(性)的
metallurgy     [me'tælədʒi] n. 冶金
